id,title,likes,dislikes,like/dislikes_ratio,difficulty
1358,Number of Substrings Containing All Three Characters,1048,21,49.904761904761905,Medium
1186,Maximum Subarray Sum with One Deletion,1045,37,28.243243243243242,Medium
274,H-Index,1037,1642,0.6315468940316687,Medium
677,Map Sum Pairs,1034,114,9.070175438596491,Medium
915,Partition Array into Disjoint Intervals,1033,57,18.12280701754386,Medium
259,3Sum Smaller,1033,109,9.477064220183486,Medium
1014,Best Sightseeing Pair,1023,29,35.275862068965516,Medium
1673,Find the Most Competitive Subsequence,1016,55,18.472727272727273,Medium
853,Car Fleet,1013,363,2.790633608815427,Medium
1190,Reverse Substrings Between Each Pair of Parentheses,1005,29,34.6551724137931,Medium
775,Global and Local Inversions,991,283,3.501766784452297,Medium
333,Largest BST Subtree,985,87,11.32183908045977,Medium
731,My Calendar II,980,111,8.82882882882883,Medium
1338,Reduce Array Size to The Half,977,73,13.383561643835616,Medium
764,Largest Plus Sign,976,181,5.392265193370166,Medium
339,Nested List Weight Sum,976,239,4.083682008368201,Medium
161,One Edit Distance,972,150,6.48,Medium
1262,Greatest Sum Divisible by Three,955,29,32.93103448275862,Medium
1557,Minimum Number of Vertices to Reach All Nodes,955,52,18.365384615384617,Medium
249,Group Shifted Strings,955,181,5.276243093922652,Medium
1396,Design Underground System,949,64,14.828125,Medium
436,Find Right Interval,946,222,4.261261261261262,Medium
962,Maximum Width Ramp,945,25,37.8,Medium
1525,Number of Good Ways to Split a String,937,25,37.48,Medium
467,Unique Substrings in Wraparound String,926,125,7.408,Medium
969,Pancake Sorting,925,1138,0.812829525483304,Medium
1769,Minimum Number of Operations to Move All Balls to Each Box,921,37,24.89189189189189,Medium
523,Continuous Subarray Sum,919,155,5.929032258064516,Medium
505,The Maze II,918,41,22.390243902439025,Medium
1129,Shortest Path with Alternating Colors,916,46,19.91304347826087,Medium
38,Count and Say,915,2615,0.34990439770554493,Medium
1371,Find the Longest Substring Containing Vowels in Even Counts,901,35,25.742857142857144,Medium
910,Smallest Range II,896,318,2.8176100628930816,Medium
1123,Lowest Common Ancestor of Deepest Leaves,896,695,1.289208633093525,Medium
284,Peeking Iterator,895,624,1.4342948717948718,Medium
545,Boundary of Binary Tree,892,1474,0.6051560379918589,Medium
